Author,Year,Type_of_Meta-Analysis,Age_Group,Health_Status,Skill_Level,N,Task,Outcome_Measure,Hedges_g,Standard_Error,Risk_of_Bias
Ziv et al.,2013,Performance,Adult,Healthy,Experienced,24,Treadmill running,Oxygen consumption,-0.039,0.201,Low
Abdollahipour et al.,2008,Retention,Children,Healthy,Novice,76,Soccer dribbling,Movement time,0.449,0.225,Moderate
Abdollahipour et al.,2019 Exp 2,Retention,Adults,Visual,Novice,26,Pedalo riding,Movement time,0.379,0.383,Moderate
Abdollahipour et al.,2014,Retention,Adults,Healthy,Novice,40,Dart throwing,Accuracy score,-0.076,0.31,Moderate
Agar et al.,2016,Retention,Children,Healthy,Novice,48,Puck shooting,Accuracy score,-0.099,0.28,Low
Ahmad et al.,2013,Retention,Adults,Healthy,Novice,44,Volleyball serve,Accuracy score,2.622,0.407,Moderate
An et al.,2013,Retention,Adults,Healthy,Experienced,16,Golf swing,Carry distance,1.12,0.513,Low
Beck et al.,2017,Retention,Older adults,Idiopathic PD,Novice,32,Ground walking,Step length,0.161,0.173,Low
Becker & Smith,2013,Retention,Children,Healthy,Novice,24,Pedalo riding,Movement time,-0.271,0.275,Moderate
Becker & Smith,2013,Retention,Adults,Healthy,Novice,24,Pedalo riding,Movement time,0.352,0.274,Moderate
Brocken et al.,2016,Retention,Children,Healthy,Novice,60,Golf putting,Radial error,0.259,0.253,Low
Chiviacowsky et al.,2013,Retention,Children,Intellectual,Novice,24,Beanbag tossing,Accuracy score,1.356,0.44,Moderate
Chiviacowsky et al.,2010,Retention,Older adults,Healthy,Novice,32,Balance,Time in balance,1.039,0.368,Low
Chow et al.,2014,Retention,Adults,Healthy,Novice,16,Treadmill running,Ankle angle at initial contact phase,-0.245,0.475,Low
Christina & Alpenfels,2014 Exp 1 & 2,Retention,Older adults,Healthy,Experienced,56,Golf swing,Adjusted swing path,0.981,0.279,Low
da Silva et al.,2017,Retention,Children,Healthy,Novice,38,Ballet pirouette,Degree of rotation,1.493,0.361,Moderate
